x,y,node_id,kind,group
74,1,834303,leaf,2
75,1,874002,leaf,2
76,1,858369,leaf,2
77,1,858368,leaf,2
78,1,872402,leaf,2
79,1,695953,leaf,2
80,1,1038850,leaf,2
81,1,1119297,leaf,2
82,1,1024676,leaf,2
83,1,1038851,leaf,2
84,1,1024310,leaf,2
85,1,1007866,leaf,2
86,1,1009500,leaf,2
87,1,1103447,leaf,2
88,1,966506,leaf,2
89,1,965742,leaf,2
90,1,1066175,leaf,2
91,1,1067245,leaf,2
92,1,1067244,leaf,2
93,1,1084800,leaf,2
94,1,1084033,leaf,2
95,1,1091747,leaf,2
96,1,1278446,leaf,3
97,1,1278447,leaf,3
98,1,1293710,leaf,3
99,1,1292109,leaf,3
100,1,1279563,leaf,3
101,1,1285256,leaf,3
102,1,1293184,leaf,3
103,1,1369398,leaf,3
104,1,1369810,leaf,3
105,1,1371265,leaf,3
106,1,1372493,leaf,3
107,1,1369809,leaf,3
108,1,215017,leaf,3
109,1,1366572,leaf,3
110,1,203460,leaf,3
111,1,1190220,leaf,3
112,1,1189504,leaf,3
113,1,1189505,leaf,3
114,1,1180132,leaf,3
115,1,1405586,leaf,3
116,1,1462144,leaf,3
117,1,1463995,leaf,3
118,1,1585050,leaf,3
119,1,1484649,leaf,3
120,1,1575809,leaf,3
121,1,1572097,leaf,3
122,1,1573894,leaf,3
123,1,1574756,leaf,3
124,1,1447255,leaf,3
125,1,1432285,leaf,3
126,1,1429365,leaf,3
127,1,1448550,leaf,3
0,2,119275,leaf,0
1,2,86859,leaf,0
2,2,86413,leaf,0
3,2,120374,leaf,0
4,2,109438,leaf,0
5,2,1116584,leaf_setaside,-1
6,2,100914,leaf,0
7,2,242884,leaf,0
8,2,270577,leaf,0
9,2,277269,leaf,0
10,2,73800,leaf,0
11,2,88727,leaf,0
12,2,89027,leaf,0
13,2,73801,leaf,0
14,2,284353,leaf,0
15,2,401897,leaf,0
16,2,401896,leaf,0
17,2,66343,leaf,0
18,2,400307,leaf,0
19,2,78084,leaf,0
20,2,292013,leaf,0
21,2,341525,leaf,0
22,2,391914,leaf,0
23,2,364291,leaf,0
24,2,479926,leaf,0
25,2,479927,leaf,0
26,2,476672,leaf,0
27,2,433741,leaf,0
28,2,448699,leaf,0
29,2,705320,leaf_setaside,-1
30,2,451202,leaf,0
31,2,148652,leaf,0
32,2,360663,leaf,1
33,2,269522,leaf,1
34,2,366280,leaf,1
35,2,277848,leaf,1
36,2,347546,leaf,1
37,2,313546,leaf,1
38,2,317828,leaf,1
39,2,213727,leaf,1
40,2,550102,leaf,1
41,2,679164,leaf,1
42,2,550620,leaf,1
43,2,679165,leaf,1
44,2,634883,leaf,1
45,2,639087,leaf,1
46,2,643982,leaf,1
47,2,535175,leaf,1
48,2,537344,leaf,1
49,2,535174,leaf,1
50,2,529077,leaf,1
51,2,524686,leaf,1
52,2,525422,leaf,1
53,2,525423,leaf,1
54,2,527105,leaf,1
55,2,659563,leaf,1
56,2,367586,leaf,1
57,2,396629,leaf,1
58,2,397580,leaf,1
59,2,416772,leaf,1
60,2,470181,leaf,1
61,2,469362,leaf,1
62,2,468013,leaf,1
63,2,436911,leaf,1
64,2,756737,leaf,2
65,2,729537,leaf,2
66,2,804063,leaf,2
67,2,718516,leaf,2
68,2,719155,leaf,2
69,2,719154,leaf,2
70,2,901413,leaf,2
71,2,870806,leaf,2
72,2,812138,leaf,2
73,2,813433,leaf,2
74,2,874003,leaf,2
75,2,859000,leaf,2
76,2,871458,leaf,2
77,2,857633,leaf,2
78,2,696704,leaf,2
79,2,697238,leaf,2
80,2,697239,leaf,2
81,2,842878,leaf,2
82,2,1120922,leaf,2
83,2,1037563,leaf,2
84,2,1025829,leaf,2
85,2,1023265,leaf,2
86,2,927872,leaf,2
87,2,1104524,leaf,2
88,2,1022249,leaf,2
89,2,967579,leaf,2
90,2,1086769,leaf,2
91,2,1087594,leaf,2
92,2,1086768,leaf,2
93,2,1085825,leaf,2
94,2,1085824,leaf,2
95,2,1090468,leaf,2
96,2,1277641,leaf,3
97,2,1280769,leaf,3
98,2,1283375,leaf,3
99,2,1284182,leaf,3
100,2,1280768,leaf,3
101,2,1285257,leaf,3
102,2,1286783,leaf,3
103,2,1282709,leaf,3
104,2,1368878,leaf,3
105,2,1371264,leaf,3
106,2,1333718,leaf,3
107,2,1370990,leaf,3
108,2,215016,leaf,3
109,2,200977,leaf,3
110,2,200976,leaf,3
111,2,209276,leaf,3
112,2,1189025,leaf,3
113,2,1190221,leaf,3
114,2,1189024,leaf,3
115,2,199526,leaf,3
116,2,1462117,leaf,3
117,2,1465146,leaf,3
118,2,1585963,leaf,3
119,2,1498004,leaf,3
120,2,1561249,leaf,3
121,2,1572003,leaf,3
122,2,1561248,leaf,3
123,2,1560507,leaf,3
124,2,1447254,leaf,3
125,2,1433216,leaf,3
126,2,1429364,leaf,3
127,2,1427521,leaf,3
0,3,119274,leaf,0
1,3,87532,leaf,0
2,3,879311,leaf_setaside,-1
3,3,109975,leaf,0
4,3,108590,leaf,0
5,3,123478,leaf,0
